1live_link,playlist_name,yt_music_link
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-16-100.html,1LIVE Rock Session - 23.03.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZ_Z8z3RtBZQ4sbSXoxHDnI
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-19-100.html,1LIVE Rock Session - 01.06.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyaXdjeKPwI6-aFclpNizSV4
https://www1.wdr.de/radio/1live/musik/1live-dj-session/chris-lorenzo-104.html,1LIVE DJ Session - 19.02.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZhQweN8V4QY7EABlX3v8SC
https://www1.wdr.de/radio/1live/musik/1live-dj-session/best-of-teil-2-102.html,1LIVE DJ Session - 10.12.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYxwXYP3sRDl_PCNilvlIp8
https://www1.wdr.de/radio/1live/musik/1live-dj-session/blondish-102.html,1LIVE DJ Session - 18.06.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyauOYZWfr_N29u-DgvYyO_e
https://www1.wdr.de/radio/1live/musik/1live-dj-session/alle-farben-240.html,1LIVE DJ Session - 28.05.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZBFBT3m6TFUMxfiuHE87nr
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-25-100.html,1LIVE Rock Session - 17.08.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyY_0h-kVQI0UiNwaesyRC9w
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-24-100.html,1LIVE Rock Session - 10.08.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYrWnJODXlv1_HUPx-rucQr
https://www1.wdr.de/radio/1live/musik/1live-dj-session/best-of-teil-1-100.html,1LIVE DJ Session - 03.12.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZfHYxmQ377CjiapVKLIovY
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-14-100.html,1LIVE Rock Session - 09.03.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZfMZpSmc4ZYfP3i4Ob0QWC
https://www1.wdr.de/radio/1live/musik/1live-dj-session/claptone-james-hype-100.html,1LIVE DJ Session - 22.10.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYT35HphgvYGFycp73mG2jU
https://www1.wdr.de/radio/1live/musik/1live-dj-session/lf-system-102.html,1LIVE DJ Session - 16.07.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZIKfK-NBFEXBGwia4ZBVxp
https://www1.wdr.de/radio/1live/musik/1live-streams/justin-bieber-stream-102.html,1LIVE Musik Special - 19.03.2021,https://music.youtube.com/playlist?list=PLRqjmYutdyyY5TkugecgRm70X921S4Dxa
https://www1.wdr.de/radio/1live/musik/1live-dj-session/james-hype-128.html,1LIVE DJ Session - 26.03.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyybfBtVg8c5wuNzD5nXm7anI
https://www1.wdr.de/radio/1live/musik/1live-dj-session/acraze-108.html,1LIVE DJ Session - 08.10.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZe39TCz9qsWr9kgracY_u9
https://www1.wdr.de/radio/1live/musik/1live-dj-session/robin-schulz-270.html,1LIVE DJ Session - 14.05.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYDYOoRp81vYoVFGDVfuyrz
https://www1.wdr.de/radio/1live/musik/1live-dj-session/mau-p-102.html,1LIVE DJ Session - 05.11.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyybpYOi_OiPkN1OiJHvo6giI
https://www1.wdr.de/radio/1live/musik/1live-dj-session/shouse-108.html,1LIVE DJ Session - 12.03.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyY9QT6aXKxs34IvBPcCIK21
https://www1.wdr.de/radio/1live/musik/1live-dj-session/netsky-110.html,1LIVE DJ Session - 13.08.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYe2Sb_w1kIoUt3QXDD-WO5
https://www1.wdr.de/radio/1live/musik/neu-fuer-den-sektor/nfds-sonntag-mit-philipp-isterewicz100.html,1LIVE Neu für den Sektor - die Show - 05.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyyaPXXlVWy9fDNQ6LZJpCYur
https://www1.wdr.de/radio/1live/musik/1live-dj-session/Mark-Knight-100.html,1LIVE DJ Session - 04.09.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyZIYZg-1coyB0VSolVxXDPp
https://www1.wdr.de/radio/1live/musik/1live-plan-b/plan-b-mittwochssendung-100.html,1LIVE Plan B - 08.02.2023,https://music.youtube.com/playlist?list=PLRqjmYutdyybKzR0f7XZBdnV4O67ai7HD
https://www1.wdr.de/radio/1live/musik/rock-session/rock-session-folge-17-100.html,1LIVE Rock Session - 30.03.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyybcUiDYGfg2xi07Mx06Djji
https://www1.wdr.de/radio/1live/musik/1live-dj-session/sam-feldt-132.html,1LIVE DJ Session - 19.03.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyYX4xDSupAmYgna_WsbdwJh
https://www1.wdr.de/radio/1live/musik/1live-dj-session/carl-cox-100.html,1LIVE DJ Session - 12.11.2022,https://music.youtube.com/playlist?list=PLRqjmYutdyyby9XqFmuPxALTz4liZdauj
